date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:03	13901/13901	---M--	200	added ('OK')	text/css	etag:%22364d-58dde996f0800%22	https://davur.dexignzone.com/frontend/vendor/datatables/css/jquery.dataTables.min.css	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/vendor/datatables/css/jquery.dataTables.min.css	(from https://davur.dexignzone.com/frontend/front-transactions.html)
12:36:03	0/-1	---M--	302	error ('')			https://davur.dexignzone.com/dashboard/social-image.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/dashboard/social-image.57.delayed	(from https://davur.dexignzone.com/frontend/front-booking.html)
12:36:03	0/-1	---M--	302	error ('')			https://davur.dexignzone.com/dashboard/social-image.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/dashboard/social-image.58.delayed	(from https://davur.dexignzone.com/frontend/front-orders_status.html)
12:36:04	82567/82567	---M--	200	added ('OK')	application/x-javascript	etag:%2214287-58dde996f0800%22	https://davur.dexignzone.com/frontend/vendor/datatables/js/jquery.dataTables.min.js	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/vendor/datatables/js/jquery.dataTables.min.js	(from https://davur.dexignzone.com/frontend/front-transactions.html)
12:36:04	6900/6900	---M--	200	added ('OK')	application/x-javascript	etag:%221af4-5474277ddee00%22	https://davur.dexignzone.com/frontend/vendor/imagesloaded/imagesloaded.js	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/vendor/imagesloaded/imagesloaded.js	(from https://davur.dexignzone.com/frontend/front-orders_status.html)
12:36:05	0/-1	---M--	302	error ('')			https://davur.dexignzone.com/dashboard/social-image.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/dashboard/social-image.5b.delayed	(from https://davur.dexignzone.com/frontend/front-people.html)
12:36:05	0/-1	---M--	302	error ('')			https://davur.dexignzone.com/dashboard/social-image.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/dashboard/social-image.5c.delayed	(from https://davur.dexignzone.com/frontend/front-wallet.html)
12:36:05	0/-1	---M--	302	error ('')			https://davur.dexignzone.com/dashboard/social-image.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/dashboard/social-image.5d.delayed	(from https://davur.dexignzone.com/frontend/front-food-items.html)
12:36:05	0/-1	---M--	302	error ('')			https://davur.dexignzone.com/dashboard/social-image.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/dashboard/social-image.5e.delayed	(from https://davur.dexignzone.com/frontend/front-reviews.html)
12:36:05	0/-1	---M--	302	error ('')			https://davur.dexignzone.com/dashboard/social-image.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/dashboard/social-image.5f.delayed	(from https://davur.dexignzone.com/frontend/front-authentication.html)
12:36:05	24106/24106	---M--	200	added ('OK')	application/x-javascript	etag:%225e2a-5ba72f1200980%22	https://davur.dexignzone.com/frontend/vendor/masonry/masonry-4.2.2.js	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/vendor/masonry/masonry-4.2.2.js	(from https://davur.dexignzone.com/frontend/front-orders_status.html)
12:36:06	105/105	---M-Z	200	added ('OK')	text/html	etag:%2269-5c72a1ea16200-gzip%22	https://davur.dexignzone.com/frontend/ajax/front-authentication.html	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/ajax/front-authentication.html	(from https://davur.dexignzone.com/frontend/front-authentication.html)
12:36:06	0/-1	---M--	302	error ('')			https://davur.dexignzone.com/dashboard/social-image.png	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/dashboard/social-image.61.delayed	(from https://davur.dexignzone.com/frontend/front-setting.html)
12:36:06	5962/5962	---M--	200	added ('OK')	text/css	etag:%22174a-58dde996f0800%22	https://davur.dexignzone.com/frontend/vendor/jquery-asColorPicker/css/asColorPicker.min.css	C:/Mes%20Sites%20Web/dahboard%20reataurant/davur.dexignzone.com/frontend/vendor/jquery-asColorPicker/css/asColorPicker.min.css	(from https://davur.dexignzone.com/frontend/front-setting.html)
